"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV1217"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV1218"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__brasilianum"
"ASV1219"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreales_fam_Incertae_sedis"	"g__Hypocreales_gen_Incertae_sedis"	NA
"ASV1220"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	"s__bisporalis"
"ASV1221"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV1222"	"k__Fungi"	"p__Glomeromycota"	"c__Archaeosporomycetes"	"o__Archaeosporales"	"f__Ambisporaceae"	"g__Ambispora"	"s__gerdemannii"
"ASV1223"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizoglomus"	NA
"ASV1224"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	"g__Hyaloscypha"	NA
"ASV1225"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Branch06"	"f__Branch06_fam_Incertae_sedis"	"g__Branch06_gen_Incertae_sedis"	NA
"ASV1226"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Sclerotiniaceae"	"g__Monilinia"	"s__ssiori"
"ASV1227"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Capnodiales"	"f__Cladosporiaceae"	"g__Cladosporium"	NA
"ASV1228"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Eurotiales_fam_Incertae_sedis"	"g__Eurotiales_gen_Incertae_sedis"	NA
"ASV1229"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Dermateaceae"	"g__Coleophoma"	NA
"ASV1230"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Tricholomataceae"	"g__Flagelloscypha"	NA
"ASV1231"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV1232"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Ploettnerulaceae"	"g__Cadophora"	NA
"ASV1233"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Tetracladium"	"s__marchalianum"
"ASV1234"	"k__Fungi"	"p__Ascomycota"	"c__Pezizomycetes"	"o__Pezizales"	"f__Pyronemataceae"	"g__Cheilymenia"	NA
"ASV1235"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV1236"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Paecilomyces"	NA
"ASV1237"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Microdominikia"	"s__litorea"
"ASV1238"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Setophaeosphaeria"	"s__badalingensis"
"ASV1239"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	"s__guanacastense"
"ASV1240"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Chaetothyriales_fam_Incertae_sedis"	"g__Chaetothyriales_gen_Incertae_sedis"	NA
"ASV1241"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Chaetomiaceae"	"g__Humicola"	NA
"ASV1242"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Neopyrenochaetaceae"	"g__Neopyrenochaeta"	"s__acicola"
"ASV1243"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Glomerellales"	"f__Plectosphaerellaceae"	"g__Xenoplectosphaerella"	"s__clematidis"
"ASV1244"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Hypoxylaceae"	"g__Hypoxylon"	"s__carneum"
"ASV1245"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreaceae"	"g__Trichoderma"	"s__spirale"
"ASV1246"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Melanommataceae"	"g__Camposporium"	NA
"ASV1247"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariomycetes_ord_Incertae_sedis"	"f__Junewangiaceae"	"g__Junewangiaceae_gen_Incertae_sedis"	NA
"ASV1248"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Annulatascales"	"f__Annulatascales_fam_Incertae_sedis"	"g__Annulatascales_gen_Incertae_sedis"	NA
"ASV1249"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV1250"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV1251"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	"s__compressum"
"ASV1252"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV1253"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Dictyosporiaceae"	"g__Dictyosporium"	"s__elegans"
"ASV1254"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Phaeosphaeria"	"s__fuckelii"
"ASV1255"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Polyporales"	"f__Ganodermataceae"	"g__Ganoderma"	NA
"ASV1256"	"k__Fungi"	"p__Ascomycota"	"c__Orbiliomycetes"	"o__Orbiliales"	"f__Orbiliales_fam_Incertae_sedis"	"g__Orbiliales_gen_Incertae_sedis"	NA
"ASV1257"	"k__Fungi"	"p__Basidiomycota"	"c__Geminibasidiomycetes"	"o__Geminibasidiales"	"f__Geminibasidiaceae"	"g__Geminibasidium"	NA
"ASV1258"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Sporormiaceae"	"g__Preussia"	"s__tetramera"
"ASV1259"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreaceae"	"g__Hypomyces"	"s__perniciosus"
"ASV1260"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Septoglomus"	NA
"ASV1261"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	NA	NA	NA
"ASV1262"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	"s__catenatum"
"ASV1263"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Sebacinales"	"f__Serendipitaceae"	"g__Serendipita"	NA
"ASV1264"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	"s__indicum"
"ASV1265"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Branch06"	"f__Branch06_fam_Incertae_sedis"	"g__Branch06_gen_Incertae_sedis"	NA
"ASV1266"	"k__Fungi"	"p__Ascomycota"	"c__Lecanoromycetes"	"o__Lecanoromycetes_ord_Incertae_sedis"	"f__Lecanoromycetes_fam_Incertae_sedis"	"g__Lecanoromycetes_gen_Incertae_sedis"	NA
"ASV1267"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Nigrogranaceae"	"g__Nigrograna"	"s__cangshanensis"
"ASV1268"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Geastrales"	"f__Geastraceae"	"g__Geastrum"	"s__dolomiticum"
"ASV1269"	"k__Fungi"	"p__Chytridiomycota"	"c__Spizellomycetes"	"o__Spizellomycetales"	"f__Powellomycetaceae"	"g__Powellomycetaceae_gen_Incertae_sedis"	NA
"ASV1270"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Hypoxylaceae"	"g__Hypoxylon"	"s__carneum"
"ASV1271"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomeraceae_gen_Incertae_sedis"	NA
"ASV1272"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__brasilianum"
"ASV1273"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV1274"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Diversisporales"	"f__Diversisporaceae"	"g__Diversispora"	"s__epigaea"
"ASV1275"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Agaricaceae"	"g__Leucocoprinus"	"s__cepistipes"
"ASV1276"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Dothideomycetes_ord_Incertae_sedis"	"f__Eremomycetaceae"	"g__Arthrographis"	"s__longispora"
"ASV1277"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	NA	NA
"ASV1278"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Glomerellales"	"f__Plectosphaerellaceae"	"g__Furcasterigmium"	"s__furcatum"
"ASV1279"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Leotiaceae"	"g__Pezoloma"	NA
"ASV1280"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV1281"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	"s__guanacastense"
"ASV1282"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	NA
"ASV1283"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Atractosporales"	"f__Conlariaceae"	"g__Conlarium"	NA
"ASV1284"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	"s__compressum"
"ASV1285"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	NA	NA	NA
"ASV1286"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV1287"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Sebacinales"	"f__Serendipitaceae"	"g__Serendipita"	NA
"ASV1288"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV1289"	"k__Fungi"	"p__Ascomycota"	"c__Orbiliomycetes"	"o__Orbiliales"	"f__Orbiliales_fam_Incertae_sedis"	"g__Orbiliales_gen_Incertae_sedis"	NA
"ASV1290"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV1291"	"k__Fungi"	"p__Ascomycota"	"c__Pezizomycotina_cls_Incertae_sedis"	"o__Pezizomycotina_ord_Incertae_sedis"	"f__Pezizomycotina_fam_Incertae_sedis"	"g__Triscelophorus"	NA
"ASV1292"	"k__Fungi"	"p__Ascomycota"	"c__Geoglossomycetes"	"o__Geoglossales"	"f__Geoglossales_fam_Incertae_sedis"	"g__Geoglossales_gen_Incertae_sedis"	NA
"ASV1293"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Diversisporales"	"f__Diversisporaceae"	"g__Diversisporaceae_gen_Incertae_sedis"	NA
"ASV1294"	"k__Fungi"	"p__Glomeromycota"	"c__Paraglomeromycetes"	"o__Paraglomerales"	"f__Paraglomeraceae"	"g__Paraglomus"	"s__laccatum"
"ASV1295"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	NA
"ASV1296"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Neoschizotheciaceae"	"g__Jugulospora"	NA
"ASV1297"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Exophiala"	"s__nagquensis"
"ASV1298"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	"g__Hyaloscypha"	NA
"ASV1299"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreales_fam_Incertae_sedis"	"g__Trichothecium"	"s__crotocinigenum"
"ASV1300"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Niessliaceae"	"g__Niesslia"	"s__tenuis"
"ASV1301"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	NA	NA
"ASV1302"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	NA
"ASV1303"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Tremellales"	"f__Tremellaceae"	"g__Tremella"	NA
"ASV1304"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Glomerellales"	"f__Glomerellales_fam_Incertae_sedis"	"g__Glomerellales_gen_Incertae_sedis"	NA
"ASV1305"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV1306"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Talaromyces"	NA
"ASV1307"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Mollisiaceae"	"g__Mollisia"	NA
"ASV1308"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Mycosphaerellales"	"f__Teratosphaeriaceae"	"g__Devriesia"	NA
"ASV1309"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	"s__sumatraense"
"ASV1310"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV1311"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Pleosporales_fam_Incertae_sedis"	"g__Immotthia"	"s__atrograna"
"ASV1312"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Onygenales"	NA	NA	NA
"ASV1313"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	NA	NA	NA
"ASV1314"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycota_cls_Incertae_sedis"	"o__Chytridiomycota_ord_Incertae_sedis"	"f__Chytridiomycota_fam_Incertae_sedis"	"g__Chytridiomycota_gen_Incertae_sedis"	NA
"ASV1315"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV1316"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Polyporales"	"f__Meripilaceae"	"g__Physisporinus"	NA
"ASV1317"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV1318"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomeraceae_gen_Incertae_sedis"	NA
"ASV1319"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiales_fam_Incertae_sedis"	"g__Leohumicola"	"s__minima"
"ASV1320"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV1321"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV1322"	"k__Fungi"	"p__Chytridiomycota"	"c__Chytridiomycota_cls_Incertae_sedis"	"o__Chytridiomycota_ord_Incertae_sedis"	"f__Chytridiomycota_fam_Incertae_sedis"	"g__Chytridiomycota_gen_Incertae_sedis"	NA
"ASV1323"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Bionectriaceae"	"g__Ochronectria"	"s__thailandica"
"ASV1324"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV1325"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Dominikia"	NA
"ASV1326"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	"g__Hyaloscypha"	"s__fuckelii"
"ASV1327"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Chaetosphaeriales"	"f__Chaetosphaeriaceae"	"g__Dictyochaeta"	"s__cangshanensis"
"ASV1328"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreales_fam_Incertae_sedis"	"g__Hypocreales_gen_Incertae_sedis"	NA
"ASV1329"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV1330"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Diversisporales"	"f__Diversisporaceae"	NA	NA
"ASV1331"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Microascales"	"f__Microascaceae"	"g__Cephalotrichum"	"s__stemonitis"
"ASV1332"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Neosetophoma"	"s__xingrensis"
"ASV1333"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	NA
"ASV1334"	"k__Fungi"	"p__Chytridiomycota"	"c__Rhizophlyctidomycetes"	"o__Rhizophlyctidales"	"f__Rhizophlyctidales_fam_Incertae_sedis"	"g__Rhizophlyctidales_gen_Incertae_sedis"	NA
"ASV1335"	"k__Fungi"	"p__Chytridiomycota"	"c__Rhizophydiomycetes"	"o__Rhizophydiales"	"f__Rhizophydiaceae"	"g__Rhizophydium"	NA
"ASV1336"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Glomus"	NA
"ASV1337"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	"g__Clathrosphaerina"	"s__zalewskii"
"ASV1338"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Ophiostomatales"	"f__Ophiostomataceae"	"g__Sporothrix"	"s__inflata"
"ASV1339"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Cladophialophora"	NA
"ASV1340"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV1341"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Mycenaceae"	"g__Mycenaceae_gen_Incertae_sedis"	NA
"ASV1342"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Scytalidium"	NA
"ASV1343"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	NA
"ASV1344"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV1345"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Lasiosphaeriaceae"	"g__Schizothecium"	NA
"ASV1346"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Gloniales"	"f__Gloniaceae"	"g__Cenococcum"	NA
"ASV1347"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Minimelanolocus"	NA
"ASV1348"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV1349"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Onygenales"	"f__Onygenaceae"	NA	NA
"ASV1350"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Microdominikia"	NA
"ASV1351"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreales_fam_Incertae_sedis"	"g__Hypocreales_gen_Incertae_sedis"	NA
"ASV1352"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Claroideoglomeraceae"	"g__Claroideoglomus"	"s__claroideum"
"ASV1353"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Gliocephalotrichum"	"s__bulbilium"
"ASV1354"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizoglomus"	NA
"ASV1355"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Diversisporales"	"f__Diversisporaceae"	"g__Diversisporaceae_gen_Incertae_sedis"	NA
"ASV1356"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Cladophialophora"	"s__chaetospira"
"ASV1357"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Trechisporales"	"f__Hydnodontaceae"	"g__Subulicystidium"	NA
"ASV1358"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Capronia"	"s__rubiginosa"
"ASV1359"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Thelephorales"	"f__Thelephoraceae"	NA	NA
"ASV1360"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Diversisporales"	"f__Diversisporaceae"	"g__Diversisporaceae_gen_Incertae_sedis"	NA
"ASV1361"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV1362"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Lasiosphaeriaceae"	"g__Apodus"	NA
"ASV1363"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Capnodiales"	"f__Capnodiales_fam_Incertae_sedis"	"g__Capnodiales_gen_Incertae_sedis"	NA
"ASV1364"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Minimelanolocus"	NA
"ASV1365"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	NA	NA	NA
"ASV1366"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	NA	NA
"ASV1367"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Cladophialophora"	NA
"ASV1368"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Periconiaceae"	"g__Periconia"	NA
"ASV1369"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Ilyonectria"	"s__liriodendri"
"ASV1370"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV1371"	"k__Fungi"	"p__Glomeromycota"	"c__Glomeromycetes"	"o__Glomerales"	"f__Glomeraceae"	"g__Rhizophagus"	"s__irregularis"
"ASV1372"	"k__Fungi"	"p__Ascomycota"	"c__GS37"	"o__GS37_ord_Incertae_sedis"	"f__GS37_fam_Incertae_sedis"	"g__GS37_gen_Incertae_sedis"	NA
"ASV1373"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariomycetes_ord_Incertae_sedis"	"f__Junewangiaceae"	"g__Junewangiaceae_gen_Incertae_sedis"	NA
"ASV1374"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Cladophialophora"	NA
"ASV1375"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Cladophialophora"	"s__chaetospira"
"ASV1376"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Teichosporaceae"	"g__Teichospora"	NA
"ASV1377"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariomycetes_ord_Incertae_sedis"	"f__Sordariomycetes_fam_Incertae_sedis"	"g__Sordariomycetes_gen_Incertae_sedis"	NA
"ASV1378"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	NA	NA	NA
"ASV1379"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Trichosphaeriales"	"f__Trichosphaeriaceae"	"g__Nigrospora"	NA
"ASV1380"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Onygenales"	"f__Gymnoascaceae"	"g__Gymnoascus"	"s__reessii"
"ASV1381"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	"s__parvulum"
"ASV1382"	"k__Fungi"	"p__Basidiomycota"	"c__Exobasidiomycetes"	"o__Exobasidiales"	"f__Exobasidiaceae"	"g__Arcticomyces"	"s__warmingii"
"ASV1383"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	"s__atrosanguineum"
